time_step  time  K  U  H  kT  p  msd 
0 0.000000 383.874977 -1196.474571 -812.599594 1.003595 -0.173713 0.000000
10 0.020000 369.887094 -1184.679136 -814.792042 0.967025 0.011988 0.001178
20 0.040000 343.702954 -1159.965406 -816.262451 0.898570 0.428103 0.004514
30 0.060000 310.902778 -1127.533107 -816.630329 0.812818 0.969114 0.009513
40 0.080000 287.227263 -1103.267838 -816.040576 0.750921 1.383916 0.015469
50 0.100000 288.756853 -1103.883918 -815.127065 0.754920 1.434906 0.021757
60 0.120000 299.168479 -1113.604523 -814.436044 0.782140 1.331334 0.028139
70 0.140000 297.436645 -1111.284133 -813.847489 0.777612 1.356781 0.034562
80 0.160000 298.831754 -1112.060382 -813.228628 0.781259 1.329888 0.040851
90 0.180000 304.114091 -1116.840365 -812.726274 0.795070 1.243881 0.046957
100 0.200000 304.923034 -1117.248031 -812.324997 0.797184 1.217941 0.052953
110 0.220000 301.324518 -1113.200600 -811.876081 0.787777 1.256463 0.058847
120 0.240000 299.191582 -1110.521640 -811.330058 0.782200 1.273701 0.064581
130 0.260000 302.717919 -1113.508390 -810.790472 0.791419 1.205522 0.070101
140 0.280000 311.460653 -1121.904766 -810.444112 0.814276 1.068165 0.075402
150 0.300000 314.537367 -1124.842697 -810.305330 0.822320 1.020577 0.080649
160 0.320000 309.477202 -1119.616435 -810.139233 0.809091 1.108984 0.085974
170 0.340000 299.968369 -1109.713353 -809.744984 0.784231 1.276712 0.091337
180 0.360000 294.923601 -1104.028068 -809.104468 0.771042 1.389427 0.096630
190 0.380000 300.558844 -1109.044329 -808.485486 0.785775 1.353573 0.101788
200 0.400000 304.261016 -1112.279219 -808.018202 0.795454 1.323202 0.106817
210 0.420000 305.342440 -1112.942529 -807.600089 0.798281 1.310819 0.111713
220 0.440000 311.841014 -1119.120548 -807.279534 0.815271 1.217186 0.116462
230 0.460000 319.899037 -1127.131565 -807.232528 0.836337 1.103350 0.121131
240 0.480000 316.687696 -1123.943388 -807.255691 0.827942 1.148646 0.125854
250 0.500000 310.944779 -1118.084484 -807.139705 0.812928 1.247967 0.130713
260 0.520000 304.714777 -1111.527220 -806.812443 0.796640 1.354951 0.135707
270 0.540000 307.694970 -1114.111537 -806.416567 0.804431 1.334105 0.140734
280 0.560000 316.375763 -1122.603894 -806.228131 0.827126 1.231312 0.145790
290 0.580000 317.291499 -1123.504545 -806.213046 0.829520 1.228214 0.150999
300 0.600000 310.551874 -1116.657424 -806.105549 0.811900 1.331477 0.156372
310 0.620000 300.806005 -1106.538533 -805.732528 0.786421 1.475986 0.161788
320 0.640000 298.553346 -1103.703283 -805.149937 0.780532 1.521028 0.167131
330 0.660000 305.930777 -1110.593335 -804.662557 0.799819 1.438886 0.172445
340 0.680000 310.379236 -1114.738969 -804.359733 0.811449 1.394154 0.177806
350 0.700000 312.837836 -1116.986369 -804.148533 0.817877 1.381793 0.183183
360 0.720000 315.169868 -1119.199293 -804.029425 0.823974 1.374837 0.188597
370 0.740000 312.797479 -1116.707450 -803.909971 0.817771 1.426918 0.194115
380 0.760000 309.727113 -1113.436846 -803.709732 0.809744 1.488475 0.199679
390 0.780000 303.334501 -1106.697736 -803.363235 0.793031 1.582295 0.205187
400 0.800000 301.765487 -1104.638745 -802.873258 0.788929 1.596675 0.210554
410 0.820000 306.289222 -1108.724715 -802.435493 0.800756 1.518031 0.215767
420 0.840000 310.490528 -1112.634584 -802.144056 0.811740 1.450249 0.220810
430 0.860000 304.798528 -1106.673296 -801.874768 0.796859 1.536166 0.225658
440 0.880000 285.633393 -1086.864746 -801.231354 0.746754 1.818108 0.230218
450 0.900000 273.955666 -1074.070098 -800.114431 0.716224 2.000557 0.234271
460 0.920000 287.151399 -1086.159021 -799.007622 0.750723 1.832100 0.237796
470 0.940000 310.454665 -1108.866575 -798.411910 0.811646 1.497738 0.241118
480 0.960000 324.613002 -1123.033829 -798.420826 0.848661 1.268519 0.244598
490 0.980000 321.270368 -1119.891931 -798.621564 0.839923 1.276585 0.248364
500 1.000000 311.154076 -1109.722005 -798.567929 0.813475 1.393520 0.252299
510 1.020000 305.914666 -1104.175472 -798.260806 0.799777 1.457735 0.256282
520 1.040000 311.256600 -1109.178914 -797.922313 0.813743 1.376523 0.260394
530 1.060000 325.177489 -1123.110385 -797.932897 0.850137 1.173747 0.264908
540 1.080000 324.560794 -1122.769541 -798.208747 0.848525 1.159968 0.269908
550 1.100000 313.718353 -1111.970164 -798.251810 0.820179 1.301070 0.275058
560 1.120000 306.782740 -1104.782880 -798.000140 0.802046 1.403730 0.279982
570 1.140000 308.784083 -1106.449257 -797.665174 0.807279 1.381908 0.284542
580 1.160000 314.255168 -1111.702102 -797.446935 0.821582 1.298376 0.288781
590 1.180000 322.547269 -1119.998873 -797.451604 0.843261 1.172527 0.292905
600 1.200000 325.704279 -1123.362671 -797.658392 0.851514 1.112807 0.297230
610 1.220000 325.120469 -1123.017369 -797.896900 0.849988 1.114119 0.301853
620 1.240000 327.210793 -1125.366029 -798.155236 0.855453 1.102889 0.306697
630 1.260000 325.007982 -1123.473522 -798.465540 0.849694 1.164755 0.311722
640 1.280000 311.783218 -1110.283727 -798.500510 0.815120 1.372328 0.316819
650 1.300000 304.519280 -1102.684457 -798.165177 0.796129 1.490333 0.321754
660 1.320000 312.122938 -1109.962061 -797.839123 0.816008 1.399351 0.326510
670 1.340000 318.783618 -1116.549878 -797.766260 0.833421 1.311301 0.331414
680 1.360000 317.799244 -1115.603209 -797.803965 0.830848 1.326992 0.336786
690 1.380000 309.502011 -1107.166077 -797.664066 0.809156 1.438115 0.342670
700 1.400000 309.123377 -1106.498205 -797.374827 0.808166 1.446580 0.348852
710 1.420000 312.504805 -1109.651637 -797.146832 0.817006 1.405966 0.355142
720 1.440000 313.550541 -1110.544257 -796.993716 0.819740 1.404654 0.361549
730 1.460000 313.054428 -1109.896239 -796.841810 0.818443 1.432285 0.368251
740 1.480000 312.196808 -1108.884267 -796.687459 0.816201 1.467578 0.375353
